"_id",anime_id,c1,c2,episodes,genre,img,main_cast,members,name,rating,source,studios,type
589eac5f1bc3ae2c788af112,32281,40,1,1,"Drama,Romance,School,Supernatural",https://myanimelist.cdn-dena.com/images/anime/7/79999.jpg,"Kamishiraishi,Mone;Kamiki,Ryunosuke",200630,Kimi no Na wa.,9.37,Original,CoMix Wave Films,Movie
589eac5f1bc3ae2c788af113,5114,16,1,64,"Action,Adventure,Drama,Fantasy,Magic,Military,Shounen",https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg,"Kugimiya,Rie;Park,Romi",793665,Fullmetal Alchemist: Brotherhood,9.26,Manga,Bones,TV
589eac5f1bc3ae2c788af114,28977,26,3,51,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",https://myanimelist.cdn-dena.com/images/anime/3/72078.jpg,"Kugimiya,Rie;Ishii,Kouji;Sugita,Tomokazu;Tomatsu,Haruka;Yaguchi,Asami;Sakaguchi,Daisuke",114262,Gintama°,9.25,Manga,Bandai Namco Pictures,TV
589eac5f1bc3ae2c788af115,9253,18,19,24,"Sci-Fi,Thriller",https://myanimelist.cdn-dena.com/images/anime/5/73199.jpg,"Seki,Tomokazu;Imai,Asami;Miyano,Mamoru;Hanazawa,Kana",673572,Steins;Gate,9.17,Visualnovel,White Fox,TV
589eac5f1bc3ae2c788af116,9969,26,1,51,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",https://myanimelist.cdn-dena.com/images/anime/4/50361.jpg,"Kugimiya,Rie;Sugita,Tomokazu;Sakaguchi,Daisuke",151266,Gintama&#039;,9.16,Manga,Sunrise,TV
589eac5f1bc3ae2c788af117,32935,41,23,10,"Comedy,Drama,School,Shounen,Sports",https://myanimelist.cdn-dena.com/images/anime/7/81992.jpg,"Murase,Ayumu;Ishikawa,Kaito",93351,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.15,Manga,Production I.G,TV
589eac5f1bc3ae2c788af118,11061,27,19,148,"Action,Adventure,Shounen,Super Power",https://myanimelist.cdn-dena.com/images/anime/11/33657.jpg,"Han,Megumi;Sawashiro,Miyuki;Fujiwara,Keiji;Ise,Mariya",425855,Hunter x Hunter (2011),9.13,Manga,Madhouse,TV
589eac5f1bc3ae2c788af119,820,19,40,110,"Drama,Military,Sci-Fi,Space",https://myanimelist.cdn-dena.com/images/anime/13/13225.jpg,"Inoue,Kazuhiko;Sakakibara,Yoshiko;Hironaka,Masashi;Sasaki,Nozomu;Mori,Katsuji;Horikawa,Ryo;Narahashi,Miki;Katsuki,Masako;Shiozawa,Kaneto;Wakamoto,Norio;Hazama,Michio;Tomiyama,Kei",80679,Ginga Eiyuu Densetsu,9.11,Novel,Artland,OVA
589eac5f1bc3ae2c788af11a,15335,26,1,1,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",https://myanimelist.cdn-dena.com/images/anime/10/51723.jpg,"Kugimiya,Rie;Sugita,Tomokazu;Sakaguchi,Daisuke",72534,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,9.1,Manga,Sunrise,Movie
589eac5f1bc3ae2c788af11b,15417,26,35,13,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",https://myanimelist.cdn-dena.com/images/anime/6/75172.jpg,"Kugimiya,Rie;Sugita,Tomokazu;Sakaguchi,Daisuke;Takamori,Natsumi",81109,Gintama&#039;: Enchousen,9.11,Manga,Sunrise,TV
